Date and Time,FI_FX001_FIT001_PV,FI_LX001_LIT001_PV,FI_QX001_QIT001_PV,FI_PX001_PIT001_PV,Stage,Cyclic Backwash Setpoint,Filter Time in Service,Time to Backwash
12/01/2024 10:33,6.09934,5.24352,0.10699,7.41753,FILTERING,1579,0,1579
12/01/2024 10:34,6.00716,5.25179,0.10572,7.01876,FILTERING,1579,1,1578
12/01/2024 10:35,6.19916,5.25957,0.10459,7.65965,FILTERING,1579,2,1577
12/01/2024 10:36,6.40902,5.24244,0.10644,7.62579,FILTERING,1579,3,1576
12/01/2024 10:37,6.09235,5.25126,0.10531,7.63976,FILTERING,1579,4,1575
12/01/2024 10:38,6.12709,5.25438,0.10521,7.51233,FILTERING,1579,5,1574
12/01/2024 10:39,6.52446,5.25669,0.10477,7.65703,FILTERING,1579,6,1573
12/01/2024 10:40,6.39675,5.25274,0.10412,8.03456,FILTERING,1579,7,1572
12/01/2024 10:41,6.18395,5.24859,0.1064,7.48826,FILTERING,1579,8,1571
12/01/2024 10:42,6.42088,5.24509,0.10747,7.63577,FILTERING,1579,9,1570
12/01/2024 10:43,6.25414,5.25259,0.10733,7.28858,FILTERING,1579,10,1569
12/01/2024 10:44,6.28804,5.24352,0.10709,7.37399,FILTERING,1579,11,1568
12/01/2024 10:45,6.46386,5.22891,0.10653,7.68366,FILTERING,1579,12,1567
12/01/2024 10:46,6.06699,5.25597,0.10909,8.00514,FILTERING,1579,13,1566
12/01/2024 10:47,6.13874,5.2599,0.10643,7.61647,FILTERING,1579,14,1565
12/01/2024 10:48,6.40523,5.23395,0.1098,7.64172,FILTERING,1579,15,1564
12/01/2024 10:49,6.34896,5.24497,0.10735,7.60929,FILTERING,1579,16,1563
12/01/2024 10:50,6.64809,5.25819,0.10794,7.5895,FILTERING,1579,17,1562
12/01/2024 10:51,6.43721,5.26989,0.10709,7.85668,FILTERING,1579,18,1561
12/01/2024 10:52,6.36979,5.25378,0.10874,7.33694,FILTERING,1579,19,1560
12/01/2024 10:53,6.97865,5.24798,0.11117,8.18799,FILTERING,1579,20,1559
12/01/2024 10:54,6.67348,5.25253,0.11068,7.62131,FILTERING,1579,21,1558
12/01/2024 10:55,6.76509,5.26519,0.11157,8.05435,FILTERING,1579,22,1557
12/01/2024 10:56,6.49941,5.24921,0.11107,7.47324,FILTERING,1579,23,1556
12/01/2024 10:57,6.70807,5.24817,0.10882,8.07094,FILTERING,1579,24,1555
12/01/2024 10:58,6.87152,5.2509,0.11016,8.0875,FILTERING,1579,25,1554
